Depth (ft),Weight on bit (k-lbs),Hook load (k-lbs),Surface Torque (psi),Rotary Speed (rpm),Flow In (gal/min),ROP (ft/hr)
1402.3,15.26,55.51,148.97,103.65,866.61,70.42
1403.32,16.26,54.52,148.32,103.44,961.17,73.22
1404.33,15.72,55.05,154.99,95.23,959.99,77.92
1405.35,13.98,56.8,135.2,105.69,961.62,67.84
1406.37,15.39,55.39,145.65,94.22,965.31,50.59
1407.38,14.97,55.8,156.78,83.94,966.54,44.08
1408.42,10,60.78,129.29,107.83,967.76,84.81
1409.44,14.6,56.17,136.46,92.54,962.85,57.16
1410.45,14.6,56.17,132.31,98.01,962.24,66.56
1411.47,19.58,51.2,136.65,95.32,960.39,49.07
1412.51,14.52,56.26,137.34,90.81,954.26,54.85
1413.52,16.47,54.31,144.09,84.06,951.81,87.19
1414.54,14.52,56.26,137.22,90.47,948.75,65.37
1415.56,17.05,53.73,141.53,88.03,948.13,83.22
1416.57,19.87,50.91,145.04,85.44,947.93,37.2
1417.59,18.17,52.61,143.36,87.21,946.29,45.71
1418.61,19.16,51.61,136.92,89.83,946.91,51.52
1419.62,17.09,53.69,137.03,94.62,941.8,31.02
1420.64,17.09,53.69,134.33,98.55,940.77,48.12
1421.64,16.84,53.93,135.74,78.17,858.46,46.19
1422.68,18.04,52.73,129.75,78.88,854.77,60.46
1423.7,16.59,54.18,141.88,71.52,855.59,50.43
1424.73,17.42,53.35,138.52,73.23,856.42,45.49
1425.75,17.17,53.6,142.6,69.91,853.75,50.84
1426.76,17.38,53.4,137.68,82.05,858.86,24.72
1427.78,14.14,56.63,140.08,82.26,895.77,15.9
1428.8,12.94,57.83,147.21,80.68,900.48,21.55
1429.83,21.2,49.58,149.73,79.52,911.72,36.91
1430.85,20.49,50.28,144.47,91.54,932.16,49.46
1431.88,19.33,51.45,147.02,85.77,937.87,57.36
1432.92,21.86,48.92,157.96,76.4,940.72,52.51
1433.94,18.79,51.99,154,81.99,940.52,69.07
1434.95,20.95,49.83,152.55,79.12,939.28,64.28
1435.97,19.25,51.53,141.46,95.02,937.03,70.42
1436.99,20.53,50.24,136.54,90.74,933.14,62.06
1438.02,21.4,49.37,137.61,90.99,934.98,67.74
1439.04,20.99,49.79,135.47,90.44,934.56,59.04
1440.06,7.34,63.43,121.71,103.71,934.15,38.96
1441.08,21.2,49.58,135.55,87.69,928.62,74.74
1442.09,19.37,51.4,129.75,88.67,938.04,53.8
1443.11,19,51.78,132.61,84.37,932.31,65.38
1444.13,18.13,52.65,132.69,83.48,929.44,63.13
1445.16,20.74,50.04,129.68,86.2,934.15,71.74
1446.18,18.46,52.32,133.07,79.73,930.26,51.55
1447.2,18.75,52.03,135.55,76.31,930.47,45.17
1448.21,17.67,53.11,130.86,82.48,931.28,48.14
1449.25,16.84,53.93,131.58,81.71,934.97,71.75
1450.27,18.87,51.9,127.73,85.44,929.23,63.14
1451.28,18.29,50.66,141.76,73.38,874.79,45.2
1452.3,17.67,51.28,137.22,79.06,882.39,39.35
1453.31,18.25,50.7,152.21,72.68,896.73,28.57
1454.33,18.13,50.82,161.81,72.68,907.37,53.06
1455.35,20.24,48.71,150.3,87.45,899,61.14
1456.36,20.08,48.87,156.93,77.96,902.69,42.56
1457.38,18.67,50.28,150.95,87.51,899.42,60.03
1458.4,19.87,49.08,161.13,76.74,902.07,50.15
1459.42,20.16,48.79,147.48,88.36,902.08,43.81
1460.43,20.37,48.58,153.27,81.35,901.26,39.35
1461.45,18.91,50.04,143.97,94.99,901.45,36.91
1462.47,17.46,51.49,149.58,83.54,898.59,43.58
1463.48,18.29,50.66,178.55,72.71,896.33,34.13
1464.5,20.16,48.79,141.38,92.09,897.36,38.13
1465.52,17.71,51.24,151.52,86.81,894.7,56.51
1466.53,20.74,48.21,153.73,82.57,901.65,45.72
1467.55,18.62,50.33,154.91,76.22,899.38,54.64
1468.57,19.99,48.96,149.12,82.14,906.93,52.33
1469.58,20.28,48.67,159.45,76.62,906.31,47.53
1470.6,20.74,48.21,173.86,74.6,905.49,32.66
1471.62,14.89,54.06,150.87,96.6,908.77,71.79
1472.63,15.97,52.98,149.54,90.65,906.11,46.14
1473.65,15.68,53.27,139.74,88.73,906.31,62.07
1474.67,15.02,53.93,144.93,83.24,903.44,64.32
1475.7,17.75,51.2,139.7,88.73,914.96,66.62
1476.72,17.13,51.82,148.24,81.77,907.82,55.48
1477.74,16.72,52.23,142.45,87.97,912.32,44.64
1478.75,19.7,49.25,147.1,83.64,914.16,43.58
1479.77,18.29,50.66,139.7,89.25,909.25,37.73
1480.79,16.51,52.44,146.26,96.33,911.09,27.64
1481.8,13.19,55.76,131.39,87.17,861.13,16.63
1482.82,15.68,53.27,144.7,78.63,865.01,44.63
1483.84,16.18,52.77,152.51,73.69,861.54,64.3
1484.87,15.31,53.64,162.12,79.21,864.81,57.38
1485.89,17.17,51.78,157.77,97.7,887.68,39.8
1486.91,17.17,51.78,156.9,96.91,880.36,46.34
1487.92,17.05,51.9,155.87,98.71,882.62,43.58
1488.96,17.5,51.45,144.77,88.24,880.16,40.1
1489.98,17.09,51.86,161.4,73.63,879.75,48.18
1490.99,16.88,52.07,147.98,86.35,881.79,49.06
1492.03,17.59,51.36,150.38,89.68,882.62,43.88
1493.05,16.72,52.23,149.5,87.91,879.95,37.66
1494.08,17.75,51.2,147.1,87.85,881.39,42.86
1495.12,15.6,53.35,146.22,92.97,884.05,64.36
1496.13,16.67,52.28,156.17,81.32,876.27,36.58
1497.17,17.05,51.9,146.98,96.18,877.5,56.52
1498.23,16.47,52.48,153.85,85.07,878.73,64.41
1499.24,17.3,51.65,149.12,93.31,879.54,31.56
1500.26,16.18,52.77,151.86,93.34,879.74,26.91
1501.29,16.14,52.81,138.52,88.52,876.45,13.36
1502.31,19.41,49.54,136.04,89.98,873.58,35.54
1503.33,11.9,57.05,140.2,88.7,878.89,29.28
1504.34,17.38,51.57,144.85,84.61,876.64,26.53
1505.36,17.38,51.57,143.74,85.13,876.64,49.25
1506.4,6.18,62.77,132.61,96.63,873.37,82.91
1507.42,15.51,53.44,135.85,89.07,868.46,40.23
1508.45,18.62,50.33,146.15,78.81,867.45,28.45
1509.47,15.39,53.56,140.85,82.05,868.26,21.92
1510.48,15.64,53.31,142.52,80.49,868.88,18.03
1511.5,8.88,60.07,133.49,91.78,865.82,30.76
1512.52,21.2,47.75,146.87,81.44,912.49,30.28
1513.54,17.79,51.16,145.27,82.29,863.79,37.05
1514.55,16.09,52.86,142.29,82.96,845.57,22.2
1514.55,16.09,52.86,142.29,82.96,845.57,22.2
1515.57,18.07,54.23,98.68,72.87,850.22,42.39
1516.59,17.7,54.6,91.63,83.91,853.29,39.36
1517.6,14.18,58.12,87.97,100.02,853.9,42.4
1518.64,17.78,54.52,93.08,96.02,857.79,62.2
1519.66,15.79,56.51,91.55,100.48,863.92,51.57
1520.67,19.03,53.27,99.4,78.3,859.02,46.33
1521.69,17.2,55.1,93.46,84.79,865.36,48.46
1522.71,18.37,53.93,97.54,85.44,861.27,39.36
1523.72,20.4,51.9,99.37,81.47,862.09,44.65
1524.74,19.65,52.65,99.75,80.25,861.88,47.55
1525.76,19.9,52.4,99.75,80.19,862.9,49.46
1526.78,20.11,52.19,102.68,77.11,859.02,60.04
1527.79,19.82,52.48,93.23,89.25,859.43,51.27
1528.81,19.65,52.65,98.64,82.9,861.27,48.44
1529.83,19.44,52.86,99.44,84.95,859.63,55.45
1530.84,18.32,53.98,96.43,81.53,863.11,50.16
1531.86,18.74,53.56,99.75,79.49,863.31,61.04
1532.91,21.06,51.24,98.56,83.88,864.95,55.83
1533.93,19.07,53.23,99.94,81.38,860.86,64.24
1534.97,19.03,53.27,99.1,85.86,864.95,66.65
1535.99,19.57,52.73,100.28,80.62,862.08,85.17
1537,20.65,51.65,97.61,83.76,861.27,62.16
1538.02,19.9,52.4,99.02,86.78,862.29,64.24
1539.08,19.24,53.06,99.29,82.32,859.63,71.72
1540.09,18.82,53.48,101.77,80.86,861.06,74.74
1541.11,18.37,53.93,102.07,80.22,861.47,73.17
1542.15,19.36,52.94,99.67,82.63,866.38,74.65
1543.16,16.13,56.17,100.55,84.25,860.45,69.13
1544.2,17.78,54.52,95.82,91.35,861.88,116.72
1545.22,10.19,62.11,78.17,98.52,839.25,23.49
1546.26,14.34,57.96,90.98,76.65,846,57.43
1547.27,12.81,59.49,94.26,78.88,848.07,70.43
1548.29,14.01,58.29,90.52,80.1,892.97,61.03
1549.31,14.42,57.88,96.13,73.14,848.05,49.75
1550.33,14.38,57.92,89.53,89.74,851.45,73.26
1551.34,14.92,57.38,95.29,72.9,850.22,91.6
1552.36,14.92,57.38,91.47,94.13,849.4,52.31
1553.4,15.05,57.25,93.8,90.44,850.22,55.68
1554.41,14.42,57.88,90.44,96.21,855.13,46.92
1555.43,14.42,57.88,94.6,72.07,851.86,55.46
1556.45,15.5,56.8,94.6,80.4,858.61,63.09
1557.46,14.42,57.88,97.42,76.01,857.38,63.11
1558.48,14.05,58.25,90.14,87.66,854.52,79.65
1559.52,13.89,58.41,89.95,92.33,857.79,76.16
1560.54,15.01,57.29,95.25,81.26,856.36,79.64
1561.57,16.33,55.97,92.47,82.93,854.31,54.86
1562.59,14.01,58.29,92.5,83.51,856.15,61.05
1563.61,15.34,56.96,90.79,90.26,859.22,57.39
1564.64,15.42,56.88,89.15,89.8,857.6,52.54
1565.66,15.59,56.71,88.39,82.81,861.17,39.36
1566.7,13.18,59.12,91.28,76.16,862.61,77.76
1567.71,15.54,56.76,86.37,87.72,863.84,73.25
1568.73,16.08,56.22,87.78,89.71,868.75,43.05
1569.75,14.96,57.34,91.59,90.59,868.55,46.93
1570.76,14.26,58.04,89.22,95.5,867.73,40.53
1571.78,15.17,57.13,89.76,92.33,871.62,71.84
1572.8,14.71,57.59,88.69,92.82,869.78,36.95
1573.81,14.92,57.38,86.94,93.8,870.8,41.6
1574.85,17.74,54.56,93.65,82.45,871.01,63.25
1575.89,17.16,55.14,96.81,75.76,872.64,57.42
1576.9,17.37,54.93,94.71,84.31,872.24,45.74
1577.94,12.99,59.91,81.9,92.48,805.67,43.68
1578.96,19.67,53.23,108.52,57.43,827.12,59.06
1579.98,20.42,52.48,100.7,82.9,832.45,66.58
1580.99,18.18,54.72,96.77,92.82,827.95,50.15
1582.01,18.34,54.56,98.15,89.37,833.68,48.79
1583.02,17.18,55.72,102.07,85.1,834.51,42.54
1584.04,17.1,55.8,120.91,61,841.68,55.46
1585.06,18.59,54.31,120.26,62.92,841.49,38.12
1586.08,17.97,54.93,151.1,78.17,844.57,57.21
1587.09,17.1,55.8,149.12,76.83,841.92,39.35
1588.11,18.43,54.47,167.95,72.65,847.64,30.74
1589.12,15.23,57.67,160.67,73.2,856.82,21.39
1590.14,19.01,53.89,160.56,70.36,854.98,35.18
1591.16,17.76,55.14,156.32,78.51,855.18,30.75
1592.19,19.75,53.15,149.2,86.11,853.55,36.55
1593.21,16.35,56.55,149.12,85.98,856.82,63.15
1594.23,23.2,49.7,144.43,91.54,856,42.22
1595.24,14.86,58.04,168.98,71.77,857.42,24.9
1596.26,13.9,59,180.5,77.17,854.36,50.11
1597.28,14.4,58.5,183.89,77.59,856.61,43.56
1598.29,14.07,58.83,193,72.1,858.05,28.8
1599.31,15.65,57.25,192.54,71.92,857.84,27.09
1600.33,18.26,54.64,197.8,68.08,855.18,23.17
1601.34,18.3,54.6,217.86,71.34,905.94,18
1602.36,15.94,56.96,208.67,72.74,867.87,20.4
1603.37,16.06,56.84,218.43,82.54,841.24,25.87
1604.39,17.51,55.39,224,80.92,850.7,18.2
1605.41,4.2,68.7,212.75,89.62,853.19,18.08
1606.42,9.26,63.64,224.19,78.75,856.26,40.19
1607.44,13.32,59.58,224.07,82.9,863.22,35.51
1608.47,17.26,55.64,221.63,80.86,868.75,26.98
1609.49,18.51,54.39,223.73,78.63,867.73,40.63
1610.49,13.36,59.33,238.98,84.55,874.26,23.91
1611.51,17.34,55.35,225.75,82.38,860.77,30.99
1612.52,17.55,55.14,226.93,74.94,860.36,24.34
1613.54,17.46,55.22,221.06,85.34,862.82,34.84
1614.55,18.91,53.77,228.8,79.79,854.01,25.58
1615.57,18.42,54.27,228.65,83.67,833.02,30.73
1616.59,18.62,54.06,233.49,75.09,860.03,26.63
1617.6,16.97,55.72,228.76,86.26,860.24,21.34
1618.62,17.34,55.35,229.22,86.66,859.62,24.07
1619.64,12.73,59.95,229.11,90.44,861.06,29.03
1620.65,17.17,55.51,193.69,114.76,853.49,29.67
1621.67,13.07,59.62,131.58,95.53,851.03,11.95
1622.69,13.69,59,138.25,84.73,850.82,28.15
1623.7,16.88,55.8,150.87,77.32,850.83,31.33
1624.72,15.43,57.25,164.45,76.65,856.56,25.05
1625.73,15.85,56.84,153.47,85.92,855.33,30.23
1626.75,13.81,58.87,148.01,86.14,854.31,40.21
1627.77,16.72,55.97,135.97,95.6,853.9,17.85
1628.78,15.22,57.46,141.95,94.25,854.1,17.59
1629.82,16.43,56.26,143.44,90.5,849.8,21.94
1630.84,12.82,59.87,141.61,94.95,849.19,43.58
1631.87,13.85,58.83,141.57,94.1,851.03,70.38
1632.89,13.98,58.71,145.92,86.9,851.03,47.51
1633.9,13.77,58.91,146.6,88.55,847.96,41.55
1634.92,15.89,56.8,144.51,94.62,852.26,36.94
1635.94,18.29,54.39,151.48,95.29,852.67,39.23
1636.95,17.17,55.51,155.33,91.29,852.46,22.59
1637.97,16.84,55.84,139.82,97.3,849.6,25.97
1638.99,13.4,59.29,134.67,102.15,850.42,36.21
1640,19.99,52.69,139.85,92.21,850.62,49.34
1641.02,17.84,54.85,142.33,87.11,860.64,48.25
1642.04,17.79,54.89,145.34,77.59,862.69,31.26
1643.05,19.04,53.64,175.31,57.09,866.98,31.86
1644.07,17.88,54.81,175.62,53.86,864.32,53.85
1645.09,17.59,55.1,171.96,57.09,864.94,48.17
1646.1,18.33,54.35,188.24,82.48,866.57,37.72
1647.14,22.48,50.2,198.22,73.66,862.69,37.67
1648.16,22.44,50.24,214.05,74.27,866.57,38.53
1649.17,21.32,51.36,221.63,77.69,864.12,30.5
1650.21,20.66,52.03,174.89,138,631.49,49.76
1651.23,21.9,50.78,171.54,80.16,865.55,66.57
1652.26,22.52,50.16,178.4,75.92,738.5,36.21
1653.28,21.07,51.61,179.54,76.37,863.51,36.97
1654.3,20.57,52.11,153.54,103.65,863.51,39.79
1655.33,24.93,47.75,169.29,67.74,835.07,48.45
1656.37,25.01,47.67,180.27,60.17,861.87,64.33
1657.4,22.61,50.08,167.95,71.61,602.44,60.16
1658.44,21.53,51.16,140.01,95.23,844.89,35.19
1659.46,21.07,51.61,164.1,81.44,817.06,34.19
1660.47,14.89,57.79,137.68,116.83,803.15,27.32
1661.49,20.53,52.15,133.75,89.65,580.75,60.04
1662.51,24.47,48.21,149.58,82.75,796.81,34.84
1663.52,23.39,49.29,149.81,79.24,847.14,38.92
1664.54,24.02,48.67,155.22,82.08,846.32,38.1
1665.56,24.02,48.67,147.98,94.07,844.48,37.32
1666.57,24.27,48.42,154.08,89.28,787.81,46.61
1667.63,23.98,48.71,156.48,84.76,797.01,42.18
1668.64,22.23,50.45,152.63,92.33,710.87,38.5
1669.66,24.35,48.34,147.37,99.1,824.43,32.37
1670.67,22.65,50.04,147.94,88.4,856.95,29.98
1671.69,22.73,49.95,149.84,86.38,634.39,45.73
1672.73,24.51,48.17,144.2,89.37,662.29,38.84
1673.74,22.74,51.96,140.54,81.19,779.36,32.35
1674.76,23.9,50.8,139.32,77.11,862.63,35.54
1675.77,23.57,51.13,147.75,72.32,863.25,35.87
1676.79,24.23,50.47,144.73,75.49,859.98,32.38
1677.81,23.4,51.3,157.77,64.75,865.71,36.57
1678.86,23.07,51.63,156.29,68.96,864.9,31.17
1679.88,23.69,51.01,151.6,80.74,837.66,42.56
1680.89,24.61,50.09,151.56,83.64,794.77,36.97
1681.91,24.44,50.26,147.14,87.33,821.97,40.65
1682.93,24.61,50.09,162.23,77.69,833.41,35.85
1683.94,25.52,49.18,167.23,92.12,829.32,45.75
1684.96,23.98,50.72,181.98,84.43,842.83,38.51
1685.98,24.81,49.89,158.15,96.97,756.89,40.18
1687.01,24.85,49.85,148.89,92.51,848.96,33.58
1688.03,24.27,50.43,155.71,82.87,776.13,41.73
1689.04,24.65,50.05,201.69,67.71,848.55,54.62
1690.06,23.44,51.26,224.49,65.36,799.25,58.3
1691.08,24.36,50.34,220.91,75.64,704.72,50.84
1692.09,24.94,49.76,229.87,72.04,682.83,32.94
1693.11,23.23,51.47,227.85,72.04,835.05,29.25
1694.13,23.86,50.84,232.31,76.13,854.49,29.98
1695.14,23.61,51.09,221.75,87.85,851.83,32.95
1696.16,24.81,49.89,169.02,52.3,816.23,42.56
1697.17,24.07,50.63,201.31,72.77,844.87,30.73
1698.19,22.99,51.71,230.86,74.64,849.38,35.86
1699.21,25.06,49.64,235.93,81.71,850.81,33.56
1700.22,26.14,48.56,236.96,75.95,851.63,27.49
1701.24,25.15,49.55,205.89,102.31,772.65,29.73
1702.25,24.73,49.97,193.88,90.96,852.85,31.8
1703.27,26.47,48.23,196.58,95.72,851.83,26.98
1704.28,23.98,50.72,194.75,92.91,852.85,29.45
1705.29,21.66,53.04,180.99,82.93,838.73,25.54
1706.31,23.03,51.67,185.03,83.15,836.89,26.92
1707.32,25.52,49.18,189.95,80.86,837.3,40.64
1708.34,25.77,48.93,191.21,86.2,837.09,33.27
1709.36,23.48,51.22,191.17,85.41,836.07,31.53
1710.37,23.69,51.01,195.82,85.37,838.32,37.72
1711.39,23.57,51.13,196.2,86.32,836.69,44.11
1712.41,24.11,50.59,193.34,86.87,835.05,39.68
1713.42,23.07,51.63,195.25,82.57,839.14,38.13
1714.44,22.86,51.84,189.61,91.84,837.91,28.59
1715.46,23.82,50.88,193.92,83.45,834.64,37.73
1716.47,23.32,51.38,190.1,89.74,838.32,45.2
1717.49,23.53,51.17,186.86,91.84,834.43,21.4
1718.51,22.7,52,189.61,86.11,837.3,36.24
1719.52,25.85,48.85,180,92.97,835.26,26.92
1720.54,24.61,50.09,182.33,91.32,832.39,27.62
1721.56,24.19,50.51,187.43,88.43,835.66,36.59
1722.57,24.36,50.34,190.9,88.3,832.19,43.55
1723.59,24.73,49.97,189.3,91.96,833.82,39.36
1724.61,23.61,51.09,196.78,85.65,843.64,32.68
1725.64,24.52,50.18,179.5,88.58,839.14,33.61
1726.66,25.44,49.26,179.73,85.04,838.73,34.53
1727.68,24.15,50.55,178.67,85.04,837.5,38.53
1728.69,25.77,48.93,180.19,79.82,836.07,39.17
1729.71,24.4,50.3,178.89,84.22,836.69,34.21
1730.73,24.44,50.26,180.5,80.89,833.21,30.75
1731.74,25.06,49.64,179.12,83.06,833.21,27.17
1732.76,24.52,50.18,180.76,84.25,831.57,34.87
1733.8,26.06,48.64,174.36,82.51,845.49,28.04
1734.81,22.49,52.21,180.04,87.33,835.46,28.36
1735.84,23.82,50.88,184.96,75.7,833.54,32.42
1736.88,25.35,49.35,188.31,82.14,835.17,30.31
1737.89,24.23,50.47,188.65,80.37,833.13,60.03
1738.91,22.99,51.71,184.19,85.65,833.33,39.78
1739.93,24.31,50.39,188.62,78.54,833.94,39.34
1740.94,25.19,49.51,182.52,85.77,832.92,31.01
1741.96,22.65,52.05,183.16,80.13,832.31,35.18
1742.98,23.11,51.59,185.03,75.86,834.97,44.63
1743.99,23.4,51.3,187.85,72.65,832.51,42.06
1745.01,22.45,52.25,185.11,81.04,831.28,69.09
1746.05,22.99,51.71,191.74,78.63,831.28,74.64
1747.06,23.36,51.34,180.19,80.28,830.67,67.81
1748.08,23.61,51.09,164.67,97.7,831.08,57.19
1749.12,22.86,51.84,145.88,90.26,830.87,62.17
1750.13,22.61,52.09,149,87.21,832.1,53.05
1751.15,22.49,52.21,145.57,87.05,830.67,33.56
1752.17,23.23,51.47,146.37,84.79,830.67,25.77
1753.18,23.32,51.38,148.81,84.95,830.88,65.36
1754.2,21.74,52.96,168.3,65.36,829.85,65.4
1755.22,23.77,50.93,148.01,88.09,828.62,57.2
1756.23,24.27,50.43,146.03,87.94,829.03,64.24
1757.25,23.86,50.84,159.41,74.12,828.21,33.25
1758.27,21.82,52.88,160.86,73.87,827.19,35.51
1759.28,24.48,50.22,166.16,74.57,827.19,60.91
1760.3,23.36,51.34,154.04,77.32,825.96,41.12
1761.32,23.86,50.84,145.27,87.54,828.01,41.43
1762.35,22.57,52.13,148.59,78.6,826.17,49.71
1763.37,22.9,51.8,143.21,88.76,825.96,47.26
1764.39,23.9,50.8,166.05,66.76,826.17,34.73
1765.4,23.94,50.76,148.09,89.37,825.55,41.58
1766.42,24.94,49.76,147.86,92.45,823.3,36.95
1767.43,23.48,51.22,116.48,102.09,838.13,38.91
1768.45,23.36,51.34,112.06,102.95,838.74,42.06
1769.48,22.99,51.71,116.41,90.59,836.08,46.05
1770.5,24.52,50.18,123.08,95.72,835.47,47.54
1771.52,23.11,51.59,173.44,50.01,828.11,39.36
1772.53,23.73,50.97,169.4,77.81,828.72,32.4
1773.57,25.23,49.47,153.05,97.43,827.29,27.21
1774.59,24.11,50.59,149.46,89.4,830.77,42.57
1775.6,23.03,51.67,147.56,93.52,831.17,37.74
1776.62,23.57,51.13,155.41,84.73,828.52,30.25
1777.64,23.23,51.47,157.43,87.24,827.49,26.72
1778.69,24.65,50.05,171.99,89.16,832.81,24.19
1779.71,22.94,51.76,158.73,108.44,829.74,52.31
1780.73,22.74,51.96,159.49,99.78,832.61,39.78
1781.74,23.98,50.72,149.42,97.43,827.08,35.86
1782.76,22.4,52.3,159.15,83.3,832.2,33.28
1783.78,22.86,51.84,155.87,86.29,827.49,48.45
1784.79,22.07,52.63,222.7,71.61,827.9,44.1
1785.81,24.07,50.63,226.4,74.57,833.01,28.81
1786.83,22.82,51.88,234.6,65.73,823.61,36.23
1787.84,23.9,50.8,228.95,70.58,829.33,29.27
1788.86,23.19,51.51,257.09,66.79,826.27,33.27
1789.88,23.9,50.8,241.08,78.48,826.06,35.53
1790.89,22.82,51.88,240.92,82.35,825.86,24.88
1791.91,23.77,50.93,248.82,74.67,828.72,35.19
1792.92,24.56,50.14,243.36,77.41,828.31,34.85
1793.94,22.4,52.3,243.63,80.19,822.99,26.13
1794.96,23.98,50.72,247.29,81.8,825.04,24.07
1795.97,24.52,50.18,237.04,86.63,825.65,17.26
1796.99,25.1,49.6,242.37,78.75,824.22,16.93
1797.99,24.23,50.47,175.58,77.66,831.31,23.16
1799.01,21.45,53.25,182.36,76.07,830.28,12.83
1800.03,23.9,50.8,195.86,87.88,827,17.34
1801.04,22.24,52.46,208.52,74.15,825.98,40.99
1802.06,23.57,51.13,208.29,83.21,826.39,36.24
1803.1,25.1,49.6,204.74,85.56,828.23,31.35
1804.11,24.81,49.89,196.36,94.53,830.28,18.21
1805.13,25.81,48.89,201.05,89.4,830.28,11.44
1806.15,22.16,52.54,136.84,84.37,828.85,10.76
1807.16,22.86,51.84,130.67,88.4,829.26,14.76
1808.18,21.99,52.71,140.66,91.72,830.08,26.15
1809.2,22.99,51.71,145.88,91.66,829.67,52.32
1810.21,21.37,53.33,151.29,84.98,829.87,18.67
1811.23,22.86,51.84,141.65,89.37,829.26,24.08
1812.25,22.99,51.71,144.01,89.07,828.03,38.95
1813.26,21.74,52.96,136.65,92.91,828.64,42.08
1814.3,22.99,51.71,144.24,78.45,828.44,32.42
1815.32,23.61,51.09,147.75,78.36,826.18,31.56
1816.33,22.74,51.96,141.72,86.41,824.34,30.76
1817.35,23.32,51.38,141.65,81.13,823.93,39.43
1818.39,24.81,49.89,144.01,79.94,824.55,33.59
1819.4,22.74,51.96,137.03,86.66,824.55,33.89
1820.42,24.44,50.26,137.3,86.69,824.55,27.52
1821.44,23.73,50.97,141.34,81.53,824.55,30.25
1822.47,24.19,50.51,142.33,81.26,826.19,29.14
1823.53,22.57,52.13,144.39,77.5,825.78,24.66
1824.54,23.44,51.26,146.3,79.79,824.35,28.38
1825.56,21.45,53.25,136.16,90.56,825.78,25.24
1826.6,24.36,50.34,133.72,80.16,825.58,23.88
1827.61,21.86,52.84,141.57,75.55,826.4,23.76
1828.63,22.45,52.25,134.4,82.32,827.83,27.72
1829.64,18.33,56.37,135.7,83.06,832.33,18.96
1830.66,21.12,53.58,105.35,102.58,775.31,29.76
1831.67,20.83,53.87,100.13,95.23,847.51,28.36
1832.69,21.28,53.42,112.02,96.91,848.13,26.51
1833.71,6.71,67.99,68.37,167.93,856.92,18.45
1834.78,18.58,56.12,97.42,117.96,861.42,39.9
1835.8,24.23,50.47,109.74,91.96,876.97,33.02
1836.82,20.04,54.66,110.35,100.93,873.9,25.97
1837.83,19.33,55.37,98.15,88.4,874.11,26.45
1838.87,19.79,54.91,101.16,85.44,872.06,31.05
1839.88,24.48,50.22,104.55,87.54,865.92,24.5
1840.9,20.99,53.71,99.48,104.81,864.9,20.12
1841.92,16.71,57.99,81.03,125.1,863.26,20.6
1842.94,22.99,51.71,103.03,81.56,864.29,22.05
1843.95,20.83,53.87,98.68,109.93,864.7,15.64
1844.97,22.16,52.54,112.33,80.71,869.2,24.32
1845.98,22.24,52.46,106.15,81.93,864.29,32.7
1847,21.41,53.29,100.43,110.12,871.86,37.71
1848.04,6.21,68.49,59.45,178.86,874.11,24.67
1849.07,23.44,51.26,103.56,102.64,874.93,17.95
1850.11,21.32,53.38,99.37,104.66,875.95,31.11
1851.15,25.35,49.35,105.31,111.09,874.11,39.71
1852.17,16.55,58.15,85.26,125.65,871.24,22.06
1853.2,22.53,52.17,104.44,100.23,857.12,56.56
1854.24,26.02,48.68,98.64,113.11,869.81,46.08
1855.26,19.58,55.12,91.09,114.97,868.58,24.09
1856.27,18.75,55.95,99.02,113.11,869.81,37.35
1857.29,20.49,54.21,99.06,105.91,867.77,49.37
1858.31,8.41,66.29,61.62,122.08,868.58,18.86
1859.38,18.38,56.32,85.41,112.35,869.4,24.04
1860.4,22.07,52.63,95.74,98.74,871.24,36.62
1861.46,20.49,54.21,90.71,99.07,871.04,32.83
1862.64,23.61,51.09,25.25,0,0,44.12
1862.64,23.61,51.09,25.25,0,0,44.12
1863.65,16.22,58.48,75.39,75.89,837.91,71.93
1864.67,14.93,59.77,82.82,94.71,841.99,24.42
1865.68,18.83,55.87,92.58,75.76,834.63,30.49
1866.7,19.33,55.37,98.37,64.63,835.86,24.07
1867.71,18.46,56.24,114.65,77.9,834.63,20.01
1868.73,18.46,56.24,131.73,80.46,835.86,24.73
1869.75,20.45,54.25,129.56,88.4,838.31,20.9
1870.76,22.16,52.54,129.1,89.25,840.98,21.39
1871.78,23.44,51.26,147.56,71.98,844.45,21.18
1872.8,22.99,51.71,227.92,79.85,845.07,26.71
1873.81,21.99,52.71,176.26,113.78,841.59,24.23
1874.83,22.99,51.71,134.4,81.74,844.24,17.18
1875.85,24.69,50.01,141.15,91.93,844.45,26.51
1876.86,22.2,52.5,143.17,88.3,852.02,27.93
1877.88,23.48,51.22,140.24,91.66,865.32,30.75
1878.91,25.06,49.64,135.55,97.79,863.27,31.07
1879.93,19.25,55.45,141.68,93.67,853.86,32.97
1880.95,20.87,53.83,139.13,96.72,854.27,28.93
1881.96,21.08,53.62,136.61,98.71,849.36,36.62
1882.98,21.2,53.5,137.15,94.99,850.79,29.82
1884.02,21.82,52.88,137.61,96.91,849.97,24.7
1885.03,22.36,52.34,180.04,67.43,848.13,29.75
1886.05,21.57,53.13,216.87,74.91,854.27,30.25
1887.07,21.37,53.33,199.29,96.11,850.79,41.11
1888.08,20.74,53.96,153.08,146.03,852.22,29.04
1889.12,19.66,55.04,162.54,139.35,849.77,51.1
1890.14,21.32,53.38,131.01,98.4,846.7,27.72
